part,chapter,article,name,summ
,,,Обыкновенные доходы,2896519261
1,,,Прямые налоги,230644866
,,,Департаментъ Окладныхъ Сборовъ.,202278818
,1,,"Налоги поземельные, съ недвижимыхъ имуществъ и подати.",78986018
,,1,Государственный поземельный налогъ,19000000
,,2,Разные поземельные сборы,5723228
,,3,Налоги съ недвижимыхъ имуществъ,30589547
,,4,Подымные подати и сборы,2850322
,,5,Кибиточная подать,3544789
,,6,Подать со скота киргизовъ Внутренней Орды и калмыцкаго населенія Астраханской губерніи,318104
,,7,Душевые сборы,33088
,,8,Оброчная подать и платежи переселенцевъ за отведенныя имъ въ безсрочное пользованіе казенныя земли,8584000
,,9,Сборъ съ туземнаго населенія Кавказа и Закавказья взамѣнъ отбыванія воинской повинности,542940
,,10,Государственный квартирный налогъ,7800000
,2,,Государственный промысловый налогъ.,123292800
,,1,Основной промысловый налогъ,46000000
,,2,Прибавочный сборъ съ промысловыхъ свидѣтельствъ на расходы по квартирному довольствію войскъ,1030000
,,3,"Дополнительный промысловый налогъ съ предпріятій, обязанныхъ публичною отчетностью",39000000
,,4,"Дополнительный промысловый налогъ съ предпріятій, не обязанныхъ публичною отчетностью",34500000
,,5,Особые сборы,557800
,,6,Штрафы и пени,2205000
,3,,Сборъ съ доходовъ отъ денежныхъ капиталовъ.,—
,,1,Съ доходовъ отъ государственныхъ процентныхъ бумагъ,—
,,2,"Съ доходовъ отъ процентныхъ бумагъ, выпущенныхъ частными обществами",—
,,3,Съ доходовъ отъ желѣзнодорожныхъ акцій,—
,,4,Съ доходовъ отъ внесенныхъ въ кредитныя учрежденія вкладовъ на текущій счетъ и другихъ процентныхъ вкладовъ,—
,,5,Сборъ съ спеціальныхъ текущихъ счетовъ,—
,,6,"Сборъ съ доходовъ отъ денежныхъ капиталовъ, ссужаемыхъ частными лицами и учрежденіями торгово-промышленнымъ предпріятіямъ",—
,,,Министерство Юстиціи по тюремной части.,239048
,1,,"Налоги поземельные, съ недвижимыхъ имуществъ и подати.",239048
,,1,Государственный поземельный налогъ,—
,,2,Разные поземельные сборы,—
,,3,Налоги съ недвижимыхъ имуществъ,—
,,4,Подымные подати и сборы,239048
,,5,Кибиточная подать,—
,,6,Подать со скота киргизовъ Внутренней Орды и калмыцкаго населенія Астраханской губерніи,—
,,7,Душевые сборы,—
,,8,Оброчная подать и платежи переселенцевъ за отведенныя имъ въ безсрочное пользованіе казенныя земли,—
,,9,Сборъ съ туземнаго населенія Кавказа и Закавказья взамѣнъ отбыванія воинской повинности,—
,,10,Государственный квартирный налогъ,—
,2,,Государственный промысловый налогъ.,—
,,1,Основной промысловый налогъ,—
,,2,Прибавочный сборъ съ промысловыхъ свидѣтельствъ на расходы по квартирному довольствію войскъ,—
,,3,"Дополнительный промысловый налогъ съ предпріятій, обязанныхъ публичною отчетностью",—
,,4,"Дополнительный промысловый налогъ съ предпріятій, не обязанныхъ публичною отчетностью",—
,,5,Особые сборы,—
,,6,Штрафы и пени,—
,3,,Сборъ съ доходовъ отъ денежныхъ капиталовъ.,—
,,1,Съ доходовъ отъ государственныхъ процентныхъ бумагъ,—
,,2,"Съ доходовъ отъ процентныхъ бумагъ, выпущенныхъ частными обществами",—
