nn,chapter,article,paragraph,name,summ
,,,,ОБЫКНОВЕННЫЕ РАСХОДЫ,3012264284
,,,,МИНИСТЕРСТВО ИМПЕРАТОРСКАГО ДВОРА,16359595
1,—,—,,Расходы Министерства Императорскаго Двора,12781296
2,—,—,,"Содержаніе состоящихъ въ вѣдѣніи Министерства Императорскаго Двора: Императорскихъ театровъ съ ихъ училищами, Императорской Академіи Художествъ, Императорской Археологической Коммисіи и музея Императора Александра III",3578299
,,,,ВЫСШІЯ ГОСУДАРСТВЕННЫЯ УЧРЕЖДЕНІЯ,8815469
,,,,ГОСУДАРСТВЕННЫЙ СОВѢТЪ,1979971
3,1,,,Содержаніе Государственнаго Совѣта,1979971
,,1,,Содержаніе Членовъ Совѣта,1344321
,,2,,Суточное и путевое довольствіе Членовъ Совѣта по выборамъ,635650
,,,,ГОСУДАРСТВЕННАЯ ДУМА,3403935
4,1,,,Содержаніе Членовъ Государственной Думы,1962953
,,1,,Денежное довольствіе Членовъ Государственной Думы,1873200
,,2,,Путевое довольствіе Членовъ Государственной Думы,64773
,,3,,"Вознагражденіе Членовъ Государственной Думы, на коихъ возложены особыя обязанности",24980
5,2,,,Содержаніе Канцеляріи Государственной Думы и состоящихъ при Государственной Думѣ должностныхъ лицъ,652097
,,1,,Личный составъ,396713
,,2,,Канцелярскіе и хозяйственные расходы,133546
,,3,,Дополнительное содержаніе служащихъ въ Канцеляріи Государственной Думы и состоящихъ при Государственной Думѣ должностныхъ лицъ,59838
,,4,,Пособія служащимъ по разнымъ случаямъ и на воспитаніе дѣтей,82000
,,5,,На приглашеніе лицъ для постоянныхъ занятій и для спеціальныхъ работъ,25000
,,6,,Пріобрѣтеніе книгъ и изданій для библіотеки Государственной Думы и связанные съ симъ расходы,12000
6,3,,,Ремонтъ и содержаніе зданій,782061
,,1,,Ремонтъ,606075
,,2,,Содержаніе зданій,175986
7,4,,,Пособія по разнымъ случаямъ,6824
,,1,,Награды и пособія,6824
,,,,ГОСУДАРСТВЕННАЯ КАНЦЕЛЯРIЯ,1957147
8,1,,,Содержаніе Государственной Канцеляріи,806043
,,1,,Государственный Секретарь и его Товарищъ,28613
,,2,,Государственная Канцелярія:,627377
,,,а,личный составъ,420698
,,,б,канцелярскіе и хозяйственные расходы,76740
,,,в,награды и пособія,105660
,,,г,пособія на воспитаніе дѣтей,12279
,,,д,на расходы по систематизаціи мѣстныхъ узаконеній губерніи Привислинскихъ,12000
,,3,,"Содержаніе зданій Маріинскаго Дворца, Архива Государственнаго Совѣта и отдѣльнаго зданія Государственной Канцеляріи:",150053
,,,а,содержаніе причта и другіе расходы по дворцовой церкви,4433
,,,б,содержаніе прислуги,72000
,,,в, содержаніе зданій,65000
,,,г,награды и пособія администраціи и прислугѣ,8620
9,2,,,Расходы по Государственной Типографіи,914604
,,1,,Содержаніе управленія Типографіи:,38304
,,,а,личный составъ,22454
,,,б, канцелярскіе расходы,5000
,,,в, награды и пособія,10000
,,,г, пособія на воспитаніе дѣтей,850
,,2,,Операціонные расходы:,813000
,,,а, содержаніе вольнонаемныхъ служащихъ,580590
,,,б," содержаніе и ремонтъ машинъ, покупка техническихъ принадлежностей и матеріаловъ",203410
,,,в, хозяйственные расходы,23000
,,,г, награды и пособія вольнонаемнымъ служащимъ,6000
,,3,,Содержаніе зданій,63300
10,3,,,Сооруженіе и ремонтъ зданій,236500
